category,company_count,with_label_count,coverage_percentage,avg_labels
Plastic Surgery Clinics,4,4,100.0,2.0
Plastics Products,100,100,100.0,2.85
Plumbing Services,4,4,100.0,3.0
Podiatrists,9,9,100.0,3.0
Police & Sheriffs,11,11,100.0,2.45
Political Organizations,10,10,100.0,2.5
Pools & Jacuzzi Services,2,2,100.0,3.0
Pools & Jacuzzi Stores,3,3,100.0,2.67
Pet Boarding & Sitting,8,8,100.0,3.0
Pet Cemeteries,9,9,100.0,2.33
Pet Shops,28,28,100.0,2.75
Pharmaceutical Products,42,42,100.0,2.5
Phone Repair & Services,12,12,100.0,3.0
Photographers & Photographic Studios,40,40,100.0,2.62
"Pipes, Tubes, Fittings & Valves",50,50,100.0,2.84
Plant Nurseries & Stores,23,23,100.0,2.22
Safety Training,25,25,100.0,2.96
Sailing Club,9,9,100.0,2.22
Sales Agencies,17,17,100.0,3.0
Salvage Merchandise & Thrift Stores,11,11,100.0,2.45
Scale Solutions,6,6,100.0,2.67
Scrap Metals,52,52,100.0,2.44
Security Guards & Patrol Services,12,12,100.0,2.58
Senior Care and Assisted Living Facilities,45,45,100.0,2.49
Renewable energy companies,46,46,100.0,2.39
Research Institutes,19,19,100.0,2.53
Resorts,5,5,100.0,3.0
Restaurant Equipment,27,27,100.0,2.7
Restaurants,6,6,100.0,2.0
Retirement Planning,1,1,100.0,2.0
Ridesharing,1,1,100.0,3.0
Roofing Contractors,30,30,100.0,2.7
Real Estate Rental,10,10,100.0,2.1
Real Estate Valuations & Home Inspection,20,20,100.0,2.9
Recruitment & Job Listing Services,1,1,100.0,1.0
Refrigeration Equipment & Supplies,13,13,100.0,2.85
Regenerative Clinics,1,1,100.0,3.0
Rehab & Addiction - Centers & Therapists,10,10,100.0,2.4
Religious Goods,15,15,100.0,2.53
Religious Schools,1,1,100.0,3.0
Radiology Clinic,9,9,100.0,2.89
Railroad Service Companies,47,47,100.0,2.62
Ready Mix Concrete Supplier,26,26,100.0,2.65
Real Estate - Agents & Managers,10,10,100.0,2.8
Real Estate Associations,3,3,100.0,1.33
Real Estate Attorneys,1,1,100.0,2.0
Real Estate Developers,20,20,100.0,2.75
Real Estate Investment,19,19,100.0,2.42
Water Supply & Water Treatment,21,21,100.0,2.71
Waterproofing Services,10,10,100.0,2.9
Welding Services,11,11,100.0,3.0
Wind Energy Equipment & Services,11,11,100.0,2.73
Windows & Door Shops,20,20,100.0,2.85
Wine Shops & Wineries,22,22,100.0,2.5
Wood Building Material Stores,50,50,100.0,2.7
Adhesives & Sealants,29,29,100.0,2.66
Vending Machines,10,10,100.0,2.5
Veterinarians & Animal Hospitals,10,10,100.0,3.0
Video Games - Development & Publishing,16,16,100.0,2.81
Video and Audio Production,30,30,100.0,2.3
Vitamins & Supplements,9,9,100.0,2.44
Warehousing & Storage,58,58,100.0,2.43
Watch Repair Shop,1,1,100.0,1.0
Watches & Jewelry Stores,30,30,100.0,2.63
Travel Associations,1,1,100.0,3.0
Tree Farms,33,33,100.0,2.39
Trucking and Logistics,121,121,100.0,2.54
Urology Clinics,1,1,100.0,3.0
Used Auto Parts Store,1,1,100.0,1.0
Utility companies,20,20,100.0,2.25
Valet Services & Parking Lots,10,10,100.0,2.4
Vaporizer Stores,1,1,100.0,3.0
Title Abstract & Settlement Offices,10,10,100.0,2.8
Tobacco,18,18,100.0,2.89
Tour Operators,9,9,100.0,1.22
Towing Wrecking & Roadside Assistance,10,10,100.0,2.6
Toys & Games Stores,27,27,100.0,2.44
Translation Services,10,10,100.0,2.3
Transportation & Shipping Associations,1,1,100.0,3.0
Travel Agencies,31,31,100.0,1.68
Auto Parts Manufacturers,94,94,100.0,2.43
Auto Parts Store,11,11,100.0,3.0
Auto Services,40,40,100.0,2.7
Automobile Dealers & Manufacturers,53,53,100.0,2.43
Awards & Trophies & Plaques,1,1,100.0,1.0
Bakeries & Desserts,80,80,100.0,2.09
Banks & ATMs,12,12,100.0,1.83
Barber Shops,10,10,100.0,3.0
Art Galleries,10,10,100.0,2.8
Asphalt & Paving Products,25,25,100.0,2.12
Asphalt & Paving Services,11,11,100.0,2.73
Associations,9,9,100.0,2.44
Auto Body Shops,10,10,100.0,2.7
Auto Electrical Equipment,6,6,100.0,2.67
Auto Glass Stores,10,10,100.0,2.2
Auto Insurance Agency,2,2,100.0,1.5
Animal Shelters,10,10,100.0,3.0
Animal Training,2,2,100.0,3.0
Appliance Repair & Maintenance,36,36,100.0,2.97
Appliance Stores,19,19,100.0,2.68
Aquarium,1,1,100.0,1.0
Arcades & Amusement Parks,22,22,100.0,2.64
Architects & Architectural Services,21,21,100.0,2.86
Art & Music Publishers,41,41,100.0,2.66
Adoption Agencies & Foster Care,9,9,100.0,2.44
Aircraft Parts & Services,43,43,100.0,2.53
Airline Companies,35,35,100.0,2.43
"Alarms, Surveillance & Security Systems",48,48,100.0,2.69
Alternative Therapy,10,10,100.0,2.3
Aluminum Processing & Products,42,42,100.0,2.74
Ambulances & Rescue Squads,10,10,100.0,2.7
Animal Feed,2,2,100.0,3.0
